host_response_time;host_response_rate;host_is_superhost;host_listings_count;street;neighbourhood;neighbourhood_cleansed;;;;;;;neighbourhood_group_cleansed;city;state;zipcode;market;smart_location;country_code;country;latitude;longitude;is_location_exact;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;square_feet;price;weekly_price;monthly_price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;calendar_updated;has_availability;availability_30;availability_60;availability_90;availability_365;calendar_last_scraped;number_of_reviews;first_review;last_review;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;requires_license;license;jurisdiction_names;instant_bookable;is_business_travel_ready;cancellation_policy;require_guest_profile_picture;require_guest_phone_verification;calculated_host_listings_count;reviews_per_month;ano;mes;minimum_minimum_nights;maximum_minimum_nights;minimum_maximum_nights;maximum_maximum_nights;minimum_nights_avg_ntm;maximum_nights_avg_ntm;number_of_reviews_ltm;calculated_host_listings_count_entire_homes;calculated_host_listings_count_private_rooms;calculated_host_listings_count_shared_rooms
;;f;1.0;Rio de Janeiro, Rio de Janeiro, Brazil;;Jacarepaguá;;;;;;;;Rio de Janeiro;Rio de Janeiro;22780;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.959.961.738.538.600;-43.421.225.523.718.200;f;House;Entire home/apt;16;5.0;6.0;8.0;Real Bed;"{TV,Internet,Wifi,Pool,Kitchen,""Free parking on premises"",""Family/kid friendly"",""Suitable for events"",Washer,Essentials,Shampoo}";;$591.00;;;;;4;$42.00;4;365;20 months ago;t;0;0;0;0;15/04/2018;0;;;;;;;;;;f;;;f;f;strict;t;f;1;;2018;4;;;;;;;;;;
within an hour;100%;f;8.0;Rio de Janeiro, Rio de Janeiro, Brazil;Botafogo;Botafogo;;;;;;;;Rio de Janeiro;Rio de Janeiro;22251-020;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.941.752.610.258.000;-43.188.003.053.555.100;t;House;Private room;2;2.0;1.0;1.0;Real Bed;"{""Cable TV"",Internet,Wifi,Kitchen,Breakfast,""Pets live on this property"",Dog(s),""Buzzer/wireless intercom"",Washer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Host greets you""}";;$99.00;$500.00;$1,600.00;;;1;$80.00;3;200;5 months ago;t;30;60;90;365;15/04/2018;15;26/02/2012;12/07/2017;89.0;9.0;9.0;9.0;9.0;9.0;9.0;f;;;f;f;strict;t;t;8;0.2;2018;4;;;;;;;;;;
within a day;86%;f;4.0;Rio de Janeiro, Rio de Janeiro, Brazil;Santa Teresa;Santa Teresa;;;;;;;;Rio de Janeiro;Rio de Janeiro;20230-015;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.291.574.352.658.190;-4.318.425.320.626.960;t;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly""}";0.0;$526.00;$1,305.00;$2,737.00;$842.00;$168.00;2;$0.00;1;365;2 months ago;t;30;60;90;365;15/04/2018;3;26/01/2012;15/09/2013;90.0;10.0;7.0;9.0;10.0;9.0;9.0;f;;;f;f;strict;f;f;4;0.04;2018;4;;;;;;;;;;
within an hour;100%;t;11.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22071-060;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.980.967.114.868.200;-431.919.358.744.463;t;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",""Buzzer/wireless intercom"",""Suitable for events"",""Fire extinguisher"",Essentials,Shampoo,Hangers}";0.0;$191.00;;;$650.00;$150.00;2;$75.00;5;90;3 weeks ago;t;27;57;87;362;14/04/2018;20;18/01/2012;31/01/2017;96.0;10.0;10.0;10.0;10.0;9.0;10.0;f;;;f;f;strict;t;t;8;0.26;2018;4;;;;;;;;;;
within a few hours;100%;f;1.0;Rio de Janeiro, Rio de Janeiro, Brazil;Lagoa;Lagoa;;;;;;;;Rio de Janeiro;Rio de Janeiro;22471-003;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.297.334.479.743.850;-4.320.702.499.511.830;t;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Pool,Kitchen,""Paid parking off premises"",Elevator,Washer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Window guards"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Host greets you"",""Lake access""}";;$229.00;;;$1,000.00;$130.00;4;$0.00;3;80;2 weeks ago;t;28;58;88;88;15/04/2018;0;;;;;;;;;;f;;;f;f;strict;t;t;1;;2018;4;;;;;;;;;;
within an hour;100%;f;2.0;Rio de Janeiro, Rio de Janeiro, Brazil;Flamengo;Flamengo;;;;;;;;Rio de Janeiro;Rio de Janeiro;;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.936.629.437.353.400;-4.317.659.614.019.240;f;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""translation missing: en.hosting_amenity_50"",""Window guards"",""Bed linens""}";0.0;$222.00;$1,810.00;;$342.00;$171.00;2;$102.00;2;15;4 weeks ago;t;15;27;39;286;14/04/2018;32;23/06/2012;13/02/2018;92.0;10.0;10.0;10.0;10.0;10.0;9.0;f;;;t;f;strict;t;t;2;0.45;2018;4;;;;;;;;;;
within a few hours;100%;f;3.0;Rio, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio;Rio de Janeiro;22071-100;Rio De Janeiro;Rio, Brazil;BR;Brazil;-22.984.006.327.251.300;-4.319.378.089.346.310;f;Apartment;Entire home/apt;10;2.0;1.0;10.0;Futon;"{TV,""Cable TV"",""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Shampoo,Hangers,""Bed linens""}";;$249.00;;$2,806.00;$1,000.00;$180.00;1;$50.00;3;365;2 months ago;t;29;59;89;364;14/04/2018;4;06/03/2014;11/02/2016;70.0;7.0;9.0;8.0;7.0;8.0;8.0;f;;;f;f;strict;f;f;3;0.08;2018;4;;;;;;;;;;
within a few hours;100%;f;2.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22011-040;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.296.206.973.042.880;-43.174.693.591.515.600;t;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,""24-hour check-in"",Hangers,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Hot water"",""Long term stays allowed""}";;$154.00;;$8,879.00;$683.00;$307.00;2;$120.00;1;365;a week ago;t;30;60;90;90;14/04/2018;44;06/01/2012;15/10/2017;90.0;8.0;9.0;10.0;9.0;9.0;8.0;f;;;t;f;flexible;f;f;1;0.58;2018;4;;;;;;;;;;
within an hour;100%;f;41.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22011-010;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.962.146.244.510.700;-43.174.398.824.213.500;t;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Room-darkening shades"",""Hot water"",""Bed linens"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Accessible-height toilet"",""Wide entryway"",Beachfront}";0.0;$181.00;$1,500.00;$5,600.00;$800.00;$140.00;2;$80.00;2;89;today;t;30;60;90;365;15/04/2018;97;03/01/2012;28/01/2018;93.0;9.0;10.0;10.0;10.0;9.0;9.0;f;;;t;f;strict;t;f;16;1.27;2018;4;;;;;;;;;;
within an hour;100%;t;8.0;Rio de Janeiro, Rio de Janeiro, Brazil;São Conrado;São Conrado;;;;;;;;Rio de Janeiro;Rio de Janeiro;22610-240;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.299.660.148.759.880;-4.326.964.638.692.840;t;Bed and breakfast;Private room;2;1.0;1.0;1.0;Real Bed;"{Wifi,""Air conditioning"",Pool,Kitchen,""Paid parking off premises"",""Free street parking"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}";;$102.00;;;$0.00;$20.00;1;$30.00;1;180;today;t;0;0;0;220;15/04/2018;17;08/04/2016;08/01/2018;96.0;10.0;10.0;10.0;10.0;10.0;10.0;f;;;f;f;flexible;f;f;8;0.69;2018;4;;;;;;;;;;
within an hour;100%;f;2.0;Rio de Janeiro, Rio de Janeiro, Brazil;Lapa;Centro;;;;;;;;Rio de Janeiro;Rio de Janeiro;20230-011;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.291.410.551.376.940;-4.318.576.811.966.770;t;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer}";;$232.00;$5,304.00;$17,032.00;$487.00;$122.00;2;$39.00;2;180;5 months ago;t;30;60;90;365;15/04/2018;2;15/07/2012;01/08/2013;50.0;6.0;4.0;4.0;4.0;8.0;4.0;f;;;f;f;flexible;f;f;1;0.03;2018;4;;;;;;;;;;
within an hour;100%;f;31.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22020-020;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.296.557.450.660.160;-4.317.722.601.487.890;t;Apartment;Private room;4;0.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Private entrance"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",""Host greets you""}";;$229.00;;;;;4;$0.00;1;90;2 days ago;t;30;60;90;365;14/04/2018;22;28/02/2012;03/01/2018;89.0;9.0;9.0;10.0;10.0;10.0;9.0;f;;;f;f;strict;f;f;31;0.29;2018;4;;;;;;;;;;
within an hour;100%;f;31.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22021-010;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.296.285.775.825.760;-4.317.575.309.203.550;t;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",""Long term stays allowed"",""Host greets you""}";;$79.00;;$1,000.00;;;2;$0.00;1;90;2 days ago;t;22;37;67;342;14/04/2018;72;06/04/2012;03/04/2018;93.0;10.0;9.0;10.0;10.0;9.0;9.0;f;;;f;f;moderate;f;f;31;0.98;2018;4;;;;;;;;;;
within an hour;100%;f;31.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22020-020;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.967.371.177.975.100;-43.178.056.889.956.500;t;Apartment;Private room;3;;1.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water"",""Host greets you""}";;$150.00;;;;;3;$0.00;1;90;2 days ago;t;30;60;90;365;14/04/2018;14;06/01/2012;01/04/2018;97.0;10.0;10.0;10.0;10.0;10.0;9.0;f;;;f;f;moderate;f;f;31;0.18;2018;4;;;;;;;;;;
within an hour;100%;f;31.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22020-020;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.967.148.263.439.000;-431.782.433.844.952;t;Apartment;Private room;2;;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",""Private entrance"",""Hot water"",""Host greets you""}";;$92.00;;;;;1;$0.00;2;30;2 days ago;t;30;60;90;365;14/04/2018;3;23/02/2012;21/06/2012;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;;;f;f;moderate;f;f;31;0.04;2018;4;;;;;;;;;;
within a day;71%;f;2.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22041-010;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.296.656.677.789.810;-4.319.191.531.619.550;t;Apartment;Entire home/apt;5;2.0;2.0;4.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Breakfast,""Buzzer/wireless intercom"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";484.0;$451.00;$1,400.00;$6,000.00;$0.00;$100.00;1;$0.00;3;1125;2 months ago;t;0;0;0;0;14/04/2018;2;13/08/2016;02/01/2018;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;;;f;f;strict;f;f;2;0.1;2018;4;;;;;;;;;;
within a few hours;100%;f;5.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22071-100;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.298.054.244.450.120;-4.319.368.567.529.770;t;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials}";323.0;$161.00;;;$330.00;$100.00;2;$28.00;3;180;2 months ago;t;0;4;34;309;14/04/2018;69;31/12/2011;09/01/2018;89.0;9.0;9.0;9.0;9.0;9.0;9.0;f;;;f;f;strict;f;f;5;0.9;2018;4;;;;;;;;;;
within an hour;100%;t;3.0;Rio de Janeiro, Rio de Janeiro, Brazil;Ipanema;Ipanema;;;;;;;;Rio de Janeiro;Rio de Janeiro;22411-003;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.984.857.366.500.500;-4.320.369.102.055.920;t;Apartment;Entire home/apt;4;1.0;1.0;3.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,""Free street parking"",""Family/kid friendly"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",Crib,""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,""Luggage dropoff allowed"",""Long term stays allowed"",""Paid parking on premises""}";;$256.00;;$5,123.00;$683.00;$120.00;2;$51.00;2;900;yesterday;t;15;45;75;340;14/04/2018;137;31/12/2011;07/04/2018;95.0;10.0;9.0;10.0;10.0;10.0;9.0;f;;;t;f;strict;f;f;3;1.79;2018;4;;;;;;;;;;
within an hour;100%;f;31.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22020-020;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.296.536.533.879.180;-431.781.986.310.033;t;Apartment;Private room;2;;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",""Paid parking off premises"",Doorman,Elevator,""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""Hair dryer"",""Self check-in"",""Front desk/doorperson"",""Private entrance"",""Hot water""}";;$150.00;;;;;1;$0.00;1;21;2 months ago;t;30;60;90;365;14/04/2018;3;08/01/2012;16/06/2014;87.0;9.0;9.0;9.0;9.0;10.0;9.0;f;;;f;f;moderate;f;f;31;0.04;2018;4;;;;;;;;;;
within an hour;100%;f;31.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22020-020;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.966.054.740.411.700;-431.785.438.455.231;t;Apartment;Private room;2;;1.0;1.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Private entrance"",""Room-darkening shades"",""Children’s dinnerware"",""Hot water""}";;$130.00;;;;;2;$0.00;1;30;7 weeks ago;t;30;60;90;365;14/04/2018;2;21/08/2016;17/09/2017;90.0;10.0;10.0;10.0;10.0;10.0;9.0;f;;;f;f;moderate;f;f;31;0.1;2018;4;;;;;;;;;;
within an hour;100%;t;11.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22071-060;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.979.553.228.510.600;-4.319.168.743.273.690;t;Apartment;Entire home/apt;4;1.0;1.0;2.0;Real Bed;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}";0.0;$171.00;;;$650.00;$150.00;2;$50.00;3;90;3 weeks ago;t;29;59;89;364;14/04/2018;21;23/02/2012;06/02/2018;100.0;10.0;10.0;10.0;10.0;9.0;10.0;f;;;f;f;strict;t;t;8;0.28;2018;4;;;;;;;;;;
within an hour;100%;f;2.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22050-030;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.974.286.612.976.900;-4.318.919.132.356.920;t;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Dryer,Essentials,""24-hour check-in"",""Hair dryer"",Iron}";;$195.00;;;$1,000.00;$100.00;3;$65.00;3;30;2 months ago;t;30;60;90;365;14/04/2018;4;03/01/2013;11/02/2016;95.0;9.0;10.0;10.0;10.0;10.0;8.0;f;;;f;f;strict;f;t;2;0.06;2018;4;;;;;;;;;;
;;f;2.0;Copacabana, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Copacabana;Rio de Janeiro;22031-071;Rio De Janeiro;Copacabana, Brazil;BR;Brazil;-2.296.460.079.939.250;-431.905.912.692.168;t;Apartment;Entire home/apt;4;1.0;0.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""Room-darkening shades""}";430.0;$342.00;$993.00;$2,445.00;$342.00;$161.00;2;$0.00;4;30;3 months ago;t;29;59;89;89;15/04/2018;16;28/01/2012;20/02/2018;93.0;10.0;9.0;10.0;10.0;9.0;9.0;f;;;f;f;moderate;t;t;2;0.21;2018;4;;;;;;;;;;
a few days or more;0%;f;2.0;Rio de Janeiro, Rio de Janeiro, Brazil;Leblon;Leblon;;;;;;;;Rio de Janeiro;Rio de Janeiro;22440-000;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.298.427.025.498.220;-432.200.531.468.966;t;Apartment;Entire home/apt;5;1.5;2.0;1.0;Real Bed;"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""24-hour check-in"",""Hair dryer"",Iron,""Laptop friendly workspace""}";0.0;$400.00;;;$300.00;$300.00;2;$400.00;4;30;15 months ago;t;0;0;0;0;14/04/2018;12;06/01/2012;09/09/2016;98.0;10.0;9.0;10.0;10.0;10.0;9.0;f;;;f;f;strict;t;t;2;0.16;2018;4;;;;;;;;;;
within a day;86%;f;4.0;Rio de Janeiro, Rio de Janeiro, Brazil;Lapa;Santa Teresa;;;;;;;;Rio de Janeiro;Rio de Janeiro;20230-015;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.914.945.424.991.300;-4.318.231.701.994.300;t;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;{TV,Kitchen,Elevator};0.0;$199.00;;;$844.00;$169.00;2;$0.00;1;1125;2 months ago;t;30;60;90;365;15/04/2018;1;13/01/2017;13/01/2017;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;;;f;f;strict;f;f;4;0.07;2018;4;;;;;;;;;;
within a day;86%;f;4.0;Rio de Janeiro, Rio de Janeiro, Brazil;Santa Teresa;Santa Teresa;;;;;;;;Rio de Janeiro;Rio de Janeiro;20230-010;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.291.565.712.310.430;-4.318.482.420.066.380;t;Apartment;Entire home/apt;2;1.0;0.0;2.0;Pull-out Sofa;"{TV,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Elevator,""Family/kid friendly""}";377.0;$188.00;$1,179.00;$2,526.00;$842.00;$168.00;2;$0.00;1;1125;2 months ago;t;30;60;90;365;15/04/2018;0;;;;;;;;;;f;;;f;f;strict;f;f;4;;2018;4;;;;;;;;;;
within an hour;67%;f;2.0;Rio de Janeiro, Rio de Janeiro, Brazil;Santa Teresa;Santa Teresa;;;;;;;;Rio de Janeiro;Rio de Janeiro;20240-192;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.291.623.317.068.420;-4.318.599.628.013.200;t;Bed and breakfast;Shared room;1;;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",""Pets allowed"",Breakfast,""Pets live on this property"",Dog(s),""Hot tub"",""Family/kid friendly"",Washer,Dryer,Essentials,Shampoo,Hangers,Iron}";;$120.00;;;;;1;$50.00;2;1125;14 months ago;t;30;60;90;365;15/04/2018;31;23/02/2012;07/02/2018;81.0;8.0;7.0;9.0;9.0;9.0;9.0;f;;;t;f;strict;f;f;2;0.41;2018;4;;;;;;;;;;
within an hour;100%;t;3.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22030-000;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-2.296.958.765.589.320;-43.188.857.845.615.500;t;Apartment;Private room;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer}";0.0;$150.00;;;;$50.00;2;$60.00;2;30;4 months ago;t;0;0;0;69;14/04/2018;42;26/02/2012;01/01/2018;99.0;10.0;10.0;10.0;10.0;10.0;9.0;f;;;t;f;strict;f;f;3;0.56;2018;4;;;;;;;;;;
within a day;80%;f;1.0;Rio de Janeiro, Rio de Janeiro, Brazil;Copacabana;Copacabana;;;;;;;;Rio de Janeiro;Rio de Janeiro;22021-001;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-22.966.601.373.668.800;-4.318.142.219.335.300;t;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;"{Wifi,""Air conditioning"",Kitchen,""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron}";;$266.00;;;$512.00;$256.00;4;$137.00;3;60;2 weeks ago;t;17;35;35;35;14/04/2018;119;13/01/2012;23/03/2018;97.0;10.0;10.0;10.0;9.0;10.0;9.0;f;;;t;f;strict;t;t;1;1.56;2018;4;;;;;;;;;;
within an hour;100%;f;3.0;Rio de Janeiro, Rio de Janeiro, Brazil;Botafogo;Botafogo;;;;;;;;Rio de Janeiro;Rio de Janeiro;22250-180;Rio De Janeiro;Rio de Janeiro, Brazil;BR;Brazil;-229.471.199.655.438;-4.318.553.808.706.620;t;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Smoking allowed"",Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed""}";0.0;$99.00;;;$0.00;$48.00;2;$38.00;1;19;today;t;30;38;38;38;15/04/2018;137;17/01/2012;26/02/2018;94.0;9.0;9.0;10.0;10.0;10.0;9.0;f;;;f;f;strict;t;t;2;1.8;2018;4;;;;;;;;;;
